Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,1.54,,,0.000,0.12,,,0.000,0.23,,
0.010,0.85,-34.03,,0.010,0.12,-0.01,,0.010,0.23,0.00,
0.020,0.86,0.24,1694.39,0.020,0.12,-0.01,-3.47E-14,0.020,0.23,0.00,-0.03
0.030,0.86,-0.14,-18.70,0.030,0.12,-0.01,-3.45E-14,0.030,0.23,-5.71E-4,0.43
0.040,0.86,-0.13,308.75,0.040,0.12,-0.01,0.02,0.040,0.23,0.01,0.46
0.050,0.86,6.04,-1138.89,0.050,0.12,-0.01,-0.43,0.050,0.23,0.01,0.00
0.060,0.98,-22.91,-1714.27,0.060,0.12,-0.02,-0.45,0.060,0.23,0.01,1.73E-16
0.070,0.40,-28.25,1162.40,0.070,0.12,-0.02,6.89E-14,0.070,0.23,0.01,-6.91E-14
0.080,0.41,0.34,2476.38,0.080,0.12,-0.02,-1.73E-16,0.080,0.23,0.01,0.03
0.090,0.40,21.28,1083.12,0.090,0.12,-0.02,-0.02,0.090,0.23,0.01,-0.46
0.100,0.84,22.00,-1047.35,0.100,0.12,-0.02,0.43,0.100,0.23,-5.72E-4,-0.03
0.110,0.84,0.33,-1080.51,0.110,0.12,-0.01,0.46,0.110,0.23,0.01,0.49
0.120,0.84,0.39,0.56,0.120,0.12,-0.01,-0.45,0.120,0.23,0.01,-0.46
0.130,0.85,0.34,-25.28,0.130,0.12,-0.02,-0.02,0.130,0.23,-5.72E-4,-0.03
0.140,0.85,-0.12,-70.83,0.140,0.12,-0.01,0.45,0.140,0.23,0.01,0.49
0.150,0.85,-1.07,-96.86,0.150,0.12,-0.01,-0.02,0.150,0.23,0.01,-0.43
0.160,0.83,-2.05,-51.96,0.160,0.12,-0.01,0.43,0.160,0.23,0.00,-0.46
0.170,0.81,-2.11,-7.96,0.170,0.12,0.00,0.45,0.170,0.23,0.00,0.00
0.180,0.79,-2.21,0.50,0.180,0.12,0.00,0.00,0.180,0.23,0.00,0.00
0.190,0.76,-2.10,9.83,0.190,0.12,0.00,-0.02,0.190,0.23,0.00,0.00
0.200,0.74,-2.02,8.57,0.200,0.12,-3.05E-4,0.37,0.200,0.23,0.00,0.03
0.210,0.72,-1.93,9.52,0.210,0.12,0.01,2.10,0.210,0.23,5.73E-4,-0.43
0.220,0.71,-1.83,10.13,0.220,0.12,0.04,3.56,0.220,0.23,-0.01,-0.49
0.230,0.69,-1.73,9.52,0.230,0.12,0.08,0.14,0.230,0.23,-0.01,0.46
0.240,0.67,-1.64,10.02,0.240,0.12,0.04,-3.93,0.240,0.23,5.72E-4,0.03
0.250,0.66,-1.53,10.10,0.250,0.12,0.00,-2.23,0.250,0.23,-0.01,-0.49
0.260,0.64,-1.43,9.58,0.260,0.12,0.00,0.00,0.260,0.23,-0.01,0.43
0.270,0.63,-1.34,9.57,0.270,0.12,0.00,0.00,0.270,0.23,0.00,0.46
0.280,0.61,-1.24,9.56,0.280,0.12,0.00,0.00,0.280,0.23,0.00,0.00
0.290,0.60,-1.15,9.48,0.290,0.12,0.00,0.00,0.290,0.23,0.00,0.00
0.300,0.59,-1.05,9.98,0.300,0.12,0.00,-0.02,0.300,0.23,0.00,0.00
0.310,0.58,-0.95,10.11,0.310,0.12,-3.10E-4,0.43,0.310,0.23,0.00,0.00
0.320,0.57,-0.85,9.10,0.320,0.12,0.01,0.46,0.320,0.23,0.00,0.00
0.330,0.56,-0.77,9.02,0.330,0.12,0.01,-0.43,0.330,0.23,0.00,0.00
0.340,0.56,-0.67,9.51,0.340,0.12,0.00,-0.46,0.340,0.23,0.00,0.03
0.350,0.55,-0.57,9.57,0.350,0.12,-3.10E-4,0.20,0.350,0.23,5.72E-4,-0.43
0.360,0.54,-0.48,9.07,0.360,0.12,0.00,7.10,0.360,0.23,-0.01,-0.49
0.370,0.54,-0.39,8.92,0.370,0.12,0.14,1.36,0.370,0.23,-0.01,0.43
0.380,0.54,-0.30,9.98,0.380,0.13,0.03,-13.28,0.380,0.23,0.00,0.46
0.390,0.53,-0.19,9.54,0.390,0.12,-0.12,-2.86,0.390,0.23,0.00,-0.03
0.400,0.53,-0.11,8.97,0.400,0.12,-0.03,5.32,0.400,0.23,-5.71E-4,0.43
0.410,0.53,-0.01,9.46,0.410,0.12,-0.02,0.86,0.410,0.23,0.01,0.49
0.420,0.53,0.08,9.45,0.420,0.12,-0.01,0.88,0.420,0.23,0.01,-0.43
0.430,0.53,0.17,9.51,0.430,0.12,0.00,0.45,0.430,0.23,0.00,-0.46
0.440,0.54,0.27,9.01,0.440,0.12,0.00,0.02,0.440,0.23,0.00,0.00
0.450,0.54,0.35,8.93,0.450,0.12,3.10E-4,-0.43,0.450,0.23,0.00,0.03
0.460,0.54,0.45,9.42,0.460,0.12,-0.01,-0.46,0.460,0.23,5.72E-4,-0.43
0.470,0.55,0.54,9.41,0.470,0.12,-0.01,0.43,0.470,0.23,-0.01,-0.49
0.480,0.55,0.64,9.48,0.480,0.12,0.00,0.45,0.480,0.23,-0.01,0.46
0.490,0.56,0.73,8.90,0.490,0.12,0.00,0.00,0.490,0.23,5.71E-4,0.03
0.500,0.57,0.82,9.25,0.500,0.12,0.00,0.00,0.500,0.23,-0.01,-0.46
0.510,0.58,0.92,10.31,0.510,0.12,0.00,0.00,0.510,0.23,-0.01,1.13E-15
0.520,0.59,1.02,9.95,0.520,0.12,0.00,0.02,0.520,0.23,-0.01,-6.94E-14
0.530,0.60,1.12,8.94,0.530,0.12,3.10E-4,-0.43,0.530,0.23,-0.01,0.00
0.540,0.61,1.20,8.78,0.540,0.12,-0.01,-0.46,0.540,0.23,-0.01,6.94E-14
0.550,0.62,1.29,9.86,0.550,0.12,-0.01,0.45,0.550,0.23,-0.01,0.03
0.560,0.64,1.40,9.42,0.560,0.12,3.09E-4,0.02,0.560,0.23,-0.01,-0.43
0.570,0.65,1.48,8.83,0.570,0.12,-0.01,-0.46,0.570,0.23,-0.02,-0.46
0.580,0.67,1.57,9.33,0.580,0.12,-0.01,0.43,0.580,0.23,-0.02,-6.94E-14
0.590,0.68,1.67,9.32,0.590,0.12,0.00,0.46,0.590,0.23,-0.02,6.94E-14
0.600,0.70,1.76,9.22,0.600,0.12,3.09E-4,-0.43,0.600,0.23,-0.02,-4.68E-15
0.610,0.72,1.85,9.73,0.610,0.12,-0.01,-0.46,0.610,0.23,-0.02,-4.68E-15
0.620,0.74,1.95,9.91,0.620,0.12,-0.01,0.45,0.620,0.23,-0.02,-0.03
0.630,0.76,2.05,10.15,0.630,0.12,3.08E-4,0.02,0.630,0.23,-0.02,0.43
0.640,0.78,2.16,5.55,0.640,0.12,-0.01,-0.45,0.640,0.23,-0.01,0.49
0.650,0.80,2.16,2.52,0.650,0.12,-0.01,0.00,0.650,0.23,-0.01,-0.46
0.660,0.82,2.21,-26.52,0.660,0.12,-0.01,0.00,0.660,0.23,-0.02,-0.03
0.670,0.84,1.63,-99.67,0.670,0.12,-0.01,-3.47E-14,0.670,0.23,-0.01,0.49
0.680,0.85,0.21,-103.54,0.680,0.12,-0.01,-3.47E-14,0.680,0.23,-0.01,-0.46
0.690,0.85,-0.44,-23.09,0.690,0.12,-0.01,0.02,0.690,0.23,-0.02,-0.03
0.700,0.84,-0.25,19.51,0.700,0.12,-0.01,-0.45,0.700,0.23,-0.01,0.49
0.710,0.84,-0.05,-1.68,0.710,0.12,-0.02,-0.03,0.710,0.23,-0.01,-0.46
0.720,0.84,-0.28,1.00,0.720,0.12,-0.01,0.86,0.720,0.23,-0.02,-0.03
0.730,0.84,-0.03,23.51,0.730,0.12,-3.06E-4,0.72,0.730,0.23,-0.01,0.46
0.740,0.84,0.19,-49.25,0.740,0.12,0.01,4.75,0.740,0.23,-0.01,-6.70E-14
