der Rentner	eläkeläinen
der Mitbewohner	asuinkumppani
studieren	opiskella
die Miete	vuokra
bezahlen	maksaa
träumen von	unelmoida
die meisten	useimmat
der Student	opiskelija
einige	muutamat
der Traum	unelma
jedoch	kuitenkin
die Realität	todellisuus
dank	ansiosta
sondern	vaan
die Arbeitzeit	työaika
ab/hängen von	riippua
die Zemmergröße	huoneen koko
Jura	oikeustiede
an der Universität	yliopistossa
genießen	nuattia
die Ruhe	rauha
etwa	noin
der Quadratmeter	neliömetri
außerdem	sitä paitsi
die Kochecke	keittokomero
die Etage	kerros
der Hausbesitzer	talonomistaja
in demselben Haus	samassa talossa
geboren sein	olla syntynyt
gleich	heti	kohta
sich verlieben	rakastua
heiraten	mennä naimisiin
die Schwiegereltern	appivanhemmat
ziehen	muuttaa asumaan
verwitwet	leskeksi jäänyt
sich fühlen	tuntea itsenßq
allein	yksin	yksinäinen
sich finden	löytää toisensa
vor allem	ennen kaikkea
die Universitätstadt	yliopistokaupunki
beliebt	pidetty
denn	sillä
günstig	edullinen
dort	siellä
knapp	niukka	vähissä
auf der anderen Seite	toisaalta
die Gesellschaft	seura	yhteiskunta
so wie	kuten
der Mieter	vuokralainen
stattdessen	sen sijaan
der Vermieter	vuokraisäntä
im Alltag	arjessa	arkisin
der Alltag	arki	arkipäivä
betragen	olla jonkin suuruinen
die Wohnfläche	asuinpinta-ala
im Haushalt	taloudenpidossa
ein/kaufen	käydä ruokaostoksilla
mit dem Hund Gassi gehen	viedä koira ulos
Er geht mit dem Hund Gassi	Hän vei koiran ulos
welcher	mikä
fast/legen	määritellä	sopia
genau	tarkka	tarkasti
die Krankenpflege	sairaanhoito
gehören zu	kuulua johonkin
die Pflicht	velvollisuus
rund um die Uhr	kellon ympäri
zur Verfügung stehen	olla käytettävissä
monatlich	kaakausittain
die beiden	molemmat
abends	iltaisin
sich unterhalten	keskustella
die Oper	ooppera
sich gewöhnen an	tottua
vor/kommen	vaikuttaa	tuntua
leer	tyhjä

// vim: ts=32 noet :
